Feltnavn;Variabelnavn;Felttype;Obligatorisk;DataDumpnavn;Gyldighet
;4 = Smertene er temmelig sterke for øyeblikket;;;;
;5 = Smertene er veldig sterke for øyeblikket;;;;
;6 = Smertene er det verste jeg kan tenke meg for øyeblikket;;;;
Personlig stell;ODI.PersonalCare;Enum;Ja;OdiPersonalCare;v1.0
;0 = Ikke svart;;;;
;1 = Jeg kan stelle meg selv på vanlig måte uten at det forårsaker ekstra smerter;;;;
;2 = Jeg kan stelle meg selv på vanlig måte, men det er veldig smertefullt;;;;
;3 = Det er smertefullt å stelle meg selv, og jeg gjør det langsomt og forsiktig;;;;
;4 = Jeg trenger noe hjelp, men klarer det meste av mitt personlige stell;;;;
;5 = Jeg trenger hjelp hver dag til det meste av eget stell;;;;
;6 = Jeg kler ikke på meg, har vanskeligheter med å vaske meg og holder sengen;;;;
Å løfte;ODI.Lift;Enum;Ja;OdiLift;v1.0
;0 = Ikke svart;;;;
;1 = Jeg kan løfte tunge ting uten å få mer smerter;;;;
;2 = Jeg kan løfte tunge ting, men får mer smerter;;;;
;3 = Smertene hindrer meg i å løfte tunge ting opp fra gulvet, men jeg greier det hvis det som skal løftes er gunstig plassert, for eksempel på et bord;;;;
;4 = Smertene hindrer meg i å løfte tunge ting, men jeg klarer lette og middels tunge ting, hvis det er gunstig plassert;;;;
;5 = Jeg kan bare løfte noe som er veldig lett;;;;
;6 = Jeg kan ikke løfte eller bære noe i det hele tatt;;;;
Å gå;ODI.Walk;Enum;Ja;OdiWalk;v1.0
;0 = Ikke svart;;;;
;1 = Smertene hindrer meg ikke å gå i det hele tatt;;;;
;2 = Smertene hindrer meg i å gå mer en 1500m;;;;
;3 = Smertene hindrer meg i å gå mer en 750m;;;;
;4 = Smertene hindrer meg i å gå mer en 100m;;;;
;5 = Jeg kan bare gå med stokk eller krykker;;;;
;6 = Jeg ligger for det meste i sengen og jeg må krabbe til toalettet;;;;
Å sitte;ODI.Sit;Enum;Ja;OdiSit;v1.0
;0 = Ikke svart;;;;
;1 = Jeg kan sitte så lenge jeg vil i en hvilken som helst stol;;;;
;2 = Jeg kan sitte så lenge jeg vil i min favorittstol;;;;
;3 = Smertene hindrer meg i å sitte mer enn en time;;;;
;4 = Smertene hindrer meg i å sitte mer enn en halv time;;;;
;5 = Smertene hindrer meg i å sitte mer enn ti minutter;;;;
;6 = Smertene hindrer meg i å sitte i det hele tatt;;;;
Å stå;ODI.Stand;Enum;Ja;OdiStand;v1.0
;0 = Ikke svart;;;;
;1 = Jeg kan stå så lenge jeg vil uten å få smerter;;;;
;2 = Jeg kan stå så lenge jeg vil, men får smerter;;;;
;3 = Smertene hindrer meg i å stå mer enn en time;;;;
;4 = Smertene hindrer meg i å stå mer enn en halv time;;;;
;5 = Smertene hindrer meg i å stå mer enn ti minutter;;;;
;6 = Smertene hindrer meg i å stå i det hele tatt;;;;
Å sove;ODI.Sleep;Enum;Ja;OdiSleep;v1.0
;0 = Ikke svart;;;;
;1 = Søvnen min forstyrres aldri av smerter;;;;
;2 = Søvnen min forstyrres av og til av smerter;;;;
;3 = På grunn av smerter får jeg mindre en seks timers søvn;;;;
;4 = På grunn av smerter får jeg mindre en fire timers søvn;;;;
;5 = På grunn av smerter får jeg mindre en to timers søvn;;;;
;6 = Smerter hindrer all søvn;;;;
Sexualliv;ODI.Sex;Enum;Ja;OdiSex;v1.0
;0 = Ikke svart;;;;
;1 = Seksuallivet mitt er normalt og forårsaker ikke mer smerter;;;;
;2 = Seksuallivet mitt er normalt, men forårsaker noe mer smerter;;;;
;3 = Seksuallivet mitt er normalt, men svært smertefullt;;;;
;4 = Seksuallivet mitt er svært begrenset av smerter;;;;
;5 = Seksuallivet mitt er nesten borte på grunn av smerter;;;;
;6 = Smerter forhindrer alt seksualliv;;;;
Sosialt liv (omgang med venner og bekjente);ODI.Social;Enum;Ja;OdiSocial;v1.0
;0 = Ikke svart;;;;
;1 = Det sosiale livet mitt er normalt og forårsaker ikke mer smerter;;;;
;2 = Det sosiale livet mitt er normalt, men øker graden av smerter;;;;
;3 = Smerter har ingen betydelige innvirkninger på mitt sosiale liv, bortsett fra at de begrenser mine mer fysisk aktive sider, som sport osv;;;;
;4 = Smerter har begrenset mitt sosiale liv, og jeg går ikke så ofte ut;;;;
;5 = Smerter har begrenset mitt sosiale liv til hjemmet;;;;
;6 = På grunn av smerter har jeg ikke noe sosialt liv;;;;
Å reise;ODI.Travel;Enum;Ja;OdiTravel;v1.0
;0 = Ikke svart;;;;
;1 = Jeg kan reise hvor som helst uten smerter;;;;
;2 = Jeg kan reise hvor som helst, men det gir mer smerter;;;;
;3 = Smertene er ille, men jeg klarer reiser på to timer;;;;
;4 = Smerter begrenser meg til korte reiser på under en time;;;;
;5 = Smerter begrenser meg til korte, nødvendige reiser på under 30 minutter;;;;
;6 = Smerter hindrer meg fra å reise, unntatt for å få behandling;;;;
Score;ODI.Score;Numerisk (flyttall);Nei;OdiScore;v1.0
Index;ODI.Index;Numerisk (heltall);Nei;OdiIndex;v1.0
Smerteintensitet;NDI.Intensity;Enum;Ja;NdiIntensity;v1.0
;0 = Ikke svart;;;;
;1 = Jeg har ingen smerter for øyeblikket;;;;
;2 = Smertene er svake for øyeblikket;;;;
;3 = Smertene kommer og går og er moderate;;;;
;4 = Smertene er moderate og varierer lite;;;;
;5 = Smertene er sterke, men kommer og går;;;;
;6 = Smertene er sterke og varierer lite;;;;
Personlig stell;NDI.PersonalCare;Enum;Ja;NdiPersonalCare;v1.0
;0 = Ikke svart;;;;
;1 = Jeg kan stelle meg selv på vanlig måte uten at det forårsaker ekstra smerter;;;;
;2 = Jeg kan stelle meg selv på vanlig måte, men det er veldig smertefullt;;;;
;3 = Det er smertefullt å stelle meg selv, og jeg gjør det langsomt og forsiktig;;;;
;4 = Jeg trenger noe hjelp, men klarer det meste av mitt personlige stell;;;;
;5 = Jeg trenger hjelp hver dag til det meste av eget stell;;;;
;6 = Jeg kler ikke på meg, har vanskeligheter med å vaske meg og holder sengen;;;;
Å løfte;NDI.Lift;Enum;Ja;NdiLift;v1.0
;0 = Ikke svart;;;;
;1 = Jeg kan løfte tunge ting uten å få mer smerter;;;;
;2 = Jeg kan løfte tunge ting, men får mer smerter;;;;
;3 = Smertene hindrer meg i å løfte tunge ting opp fra gulvet, men jeg greier det hvis det som skal løftes er gunstig plassert, for eksempel på et bord;;;;
;4 = Smertene hindrer meg i å løfte tunge ting, men jeg klarer lette og middels tunge ting, hvis det er gunstig plassert;;;;
;5 = Jeg kan bare løfte noe som er veldig lett;;;;
;6 = Jeg kan ikke løfte eller bære noe i det hele tatt;;;;
Lese;NDI.Read;Enum;Ja;NdiRead;v1.0
;0 = Ikke svart;;;;
;1 = Jeg kan lese så mye jeg vil, uten smerter i nakken;;;;
;2 = Jeg kan lese så mye jeg vil, med svake smerter i nakken;;;;
;3 = Jeg kan lese så mye jeg vil, med moderate smerter i nakken;;;;
;4 = Jeg kan ikke lese så mye jeg vil, på grunn av moderate nakkesmerter;;;;
;5 = Jeg kan ikke lese så mye jeg vil, på grunn av sterke smerter i nakken;;;;
;6 = Jeg kan ikke lese i det hele tatt;;;;
Hodepine;NDI.Headache;Enum;Ja;NdiHeadache;v1.0
;0 = Ikke svart;;;;
;1 = Jeg har aldri hodepine;;;;
;2 = Jeg har svak hodepine som kommer av og til;;;;
;3 = Jeg har moderat hodepine som kommer av og til;;;;
;4 = Jeg har moderat hodepine som kommer ofte;;;;
;5 = Jeg har sterk hodepine som kommer ofte;;;;
;6 = Jeg har hodepine nesten hele tiden;;;;
Konsentrasjon;NDI.Concentration;Enum;Ja;NdiConcentration;v1.0
;0 = Ikke svart;;;;
;1 = Jeg kan konsentrere meg fullt ut når jeg vil, og uten problemer;;;;
;2 = Jeg kan konsentrer meg fullt ut når jeg vil, med litt problemer;;;;
;3 = Jeg har en del problemer med å konsentrere meg når jeg vil;;;;
;4 = Jeg har store problemer med å konsentrere meg når jeg vil;;;;
;5 = Jeg har svært store problemer med å konsentrere meg når jeg vil;;;;
;6 = Jeg kan ikke konsentrere meg i det hele tatt;;;;
Arbeid;NDI.Work;Enum;Ja;NdiWork;v1.0
;0 = Ikke svart;;;;
;1 = Jeg kan arbeide så mye jeg vil;;;;
;2 = Jeg kan bare utføre mitt vanlige arbeid, men ikke mer;;;;
;3 = Jeg kan utføre det meste av mitt vanlige arbeid, men ikke mer;;;;
;4 = Jeg kan ikke utføre mitt vanlige arbeid;;;;
;5 = Jeg kan nesten ikke utføre noe arbeid i det hele tatt;;;;
;6 = Jeg kan ikke utføre noe arbeid i det hele tatt;;;;
Kjøre bil;NDI.Driving;Enum;Ja;NdiDriving;v1.0
;0 = Ikke svart;;;;
;1 = Jeg kan kjøre bil uten smerter i nakke;;;;
;2 = Jeg kan kjøre bil så lenge jeg vil, med svake smerter i nakken;;;;
;3 = Jeg kan kjøre bil så lenge jeg vil med moderate smerter i nakken;;;;
;4 = Jeg kan ikke kjøre bil så lenge jeg vil på grunn av moderate smerter i nakken;;;;
;5 = Jeg kan nesten ikke kjøre bil i det hele tatt på grunn av sterke smerter i nakken;;;;
;6 = Jeg kan ikke kjøre bil i det hele tatt;;;;
Sove;NDI.Sleep;Enum;Ja;NdiSleep;v1.0
;0 = Ikke svart;;;;
;1 = Jeg har ingen problemer med å sove;;;;
;2 = Søvnen min er litt forstyrret (mindre enn 1 søvnløs time);;;;
;3 = Søvnen min er en del forstyrret (1-2 søvnløse timer);;;;
;4 = Søvnen min er moderat forstyrret (2-3 søvnløse timer);;;;
;5 = Søvnen min er sterkt forstyrret (3-5 søvnløse timer);;;;
;6 = Søvnen min er totalt forstyrret (5-7 søvnløse timer);;;;
Rekreasjon/fritidsaktiviteter;NDI.Leisure;Enum;Ja;NdiLeisure;v1.0
;0 = Ikke svart;;;;
;1 = Jeg kan delta i alle slags fritidsaktiviteter uten smerter i nakken;;;;
;2 = Jeg kan delta i alle slags fritidsaktiviteter med litt smerter i nakken;;;;
;3 = Jeg kan delta i de fleste, men ikke alle, fritidsaktiviteter på grunn av smerter i nakken;;;;
;4 = Jeg kan delta i noen få av mine vanlige fritidsaktiviteter på grunn av smerter i nakken;;;;
;5 = Jeg kan nesten ikke delta i noen fritidsaktiviteter på grunn av smerter i nakken;;;;
;6 = Jeg kan ikke delta i fritidsaktiviteter i det hele tatt;;;;
Score;NDI.Score;Numerisk (flyttall);Nei;NdiScore;v1.0
Index;NDI.Index;Numerisk (heltall);Nei;NdiIndex;v1.0
Fysisk aktivitet forverrer smertene mine;FABQ.Q1;Numerisk (heltall);Nei;FabQ1;v1.0
Fysisk aktivitet kan skade ryggen/nakken min;FABQ.Q2;Numerisk (heltall);Nei;FabQ2;v1.0
Jeg burde ikke utføre fysisk aktivitet som (kan) forverre smertene mine;FABQ.Q3;Numerisk (heltall);Nei;FabQ3;v1.0
Jeg kan ikke utføre fysisk aktivitet som (kan) forverre smertene mine;FABQ.Q4;Numerisk (heltall);Nei;FabQ4;v1.0
Smertene mine ble forårsaket av arbeidet mitt eller et uhell på jobben;FABQ.Q5;Numerisk (heltall);Nei;FabQ5;v1.0
Arbeidet mitt forverret smertene mine;FABQ.Q6;Numerisk (heltall);Nei;FabQ6;v1.0
Arbeidet mitt er for tungt for meg;FABQ.Q7;Numerisk (heltall);Nei;FabQ7;v1.0
Arbeidet mitt forverrer eller kan forverre smertene mine;FABQ.Q8;Numerisk (heltall);Nei;FabQ8;v1.0
Arbeidet mitt kan skade ryggen/nakken min;FABQ.Q9;Numerisk (heltall);Nei;FabQ9;v1.0
Jeg burde ikke utføre det vanlige arbeidet mitt med mine nåværende smerter;FABQ.Q10;Numerisk (heltall);Nei;FabQ10;v1.0
Jeg tror ikke jeg vil være tilbake på det vanlige arbeidet mitt innen tre måneder;FABQ.Q11;Numerisk (heltall);Nei;FabQ11;v1.0
Score1;FABQ.Score1;Numerisk (heltall);Nei;FABQ.Score1;v1.0
Score2;FABQ.Score2;Numerisk (heltall);Nei;FABQ.Score2;v1.0
Score3;FABQ.Score3;Numerisk (heltall);Nei;FABQ.Score3;v1.0
Plutselig skremt uten grunn?;HSCL10.Q1;Enum;Ja;Hscl10Q1;v1.0
;0 = Ikke svart;;;;
;1 = Ikke i det hele tatt;;;;
;2 = Litt;;;;
;3 = En god del;;;;
;4 = Svært mye;;;;
Føler du deg engstelig?;HSCL10.Q2;Enum;Ja;Hscl10Q2;v1.0
;0 = Ikke svart;;;;
;1 = Ikke i det hele tatt;;;;
;2 = Litt;;;;
;3 = En god del;;;;
;4 = Svært mye;;;;
Føler du deg svimmel eller kraftløs?;HSCL10.Q3;Enum;Ja;Hscl10Q3;v1.0
;0 = Ikke svart;;;;
;1 = Ikke i det hele tatt;;;;
;2 = Litt;;;;
;3 = En god del;;;;
;4 = Svært mye;;;;
Føler du deg anspent eller opphisset?;HSCL10.Q4;Enum;Ja;Hscl10Q4;v1.0
;0 = Ikke svart;;;;
;1 = Ikke i det hele tatt;;;;
;2 = Litt;;;;
;3 = En god del;;;;
;4 = Svært mye;;;;
Anklager du deg selv for ting?;HSCL10.Q5;Enum;Ja;Hscl10Q5;v1.0
;0 = Ikke svart;;;;
;1 = Ikke i det hele tatt;;;;
;2 = Litt;;;;
;3 = En god del;;;;
;4 = Svært mye;;;;
Vanskelig for å sove?;HSCL10.Q6;Enum;Ja;Hscl10Q6;v1.0
;0 = Ikke svart;;;;
;1 = Ikke i det hele tatt;;;;
;2 = Litt;;;;
;3 = En god del;;;;
;4 = Svært mye;;;;
Følelse av håpløshet mht. framtiden?;HSCL10.Q7;Enum;Ja;Hscl10Q7;v1.0
;0 = Ikke svart;;;;
;1 = Ikke i det hele tatt;;;;
;2 = Litt;;;;
;3 = En god del;;;;
;4 = Svært mye;;;;
Føler deg nedfor?;HSCL10.Q8;Enum;Ja;Hscl10Q8;v1.0
;0 = Ikke svart;;;;
;1 = Ikke i det hele tatt;;;;
;2 = Litt;;;;
;3 = En god del;;;;
;4 = Svært mye;;;;
Føler du at alt krever stor anstrengelse?;HSCL10.Q9;Enum;Ja;Hscl10Q9;v1.0
;0 = Ikke svart;;;;
;1 = Ikke i det hele tatt;;;;
;2 = Litt;;;;
;3 = En god del;;;;
;4 = Svært mye;;;;
Føler at du ikke er verdt noe?;HSCL10.Q10;Enum;Ja;Hscl10Q10;v1.0
;0 = Ikke svart;;;;
;1 = Ikke i det hele tatt;;;;
;2 = Litt;;;;
;3 = En god del;;;;
;4 = Svært mye;;;;
Score;HSCL10.Score;Numerisk (flyttall);Nei;HSCL10.Score;v1.0
1. Forkjølelse, influensa;UHI.Q1;Enum;Ja;UhiQ1;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
2. Hoste, bronkitt;UHI.Q2;Enum;Ja;UhiQ2;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
3. Astma;UHI.Q3;Enum;Ja;UhiQ3;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
4. Hodepine;UHI.Q4;Enum;Ja;UhiQ4;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
5. Nakkesmerter;UHI.Q5;Enum;Ja;UhiQ5;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
6. Smerter øverst i ryggen;UHI.Q6;Enum;Ja;UhiQ6;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
7. Smerter øverst i korsryggen;UHI.Q7;Enum;Ja;UhiQ7;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
8. Smerter i armer;UHI.Q8;Enum;Ja;UhiQ8;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
9. Smerter i skuldre;UHI.Q9;Enum;Ja;UhiQ9;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
10. Migrene;UHI.Q10;Enum;Ja;UhiQ10;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
11. Hjertebank, ekstra slag;UHI.Q11;Enum;Ja;UhiQ11;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
12. Brystsmerter;UHI.Q12;Enum;Ja;UhiQ12;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
13. Pustevansker;UHI.Q13;Enum;Ja;UhiQ13;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
14. Smerter i føttene ved anstrengelse;UHI.Q14;Enum;Ja;UhiQ14;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
"15. Sure oppstøt, ""halsbrann""";UHI.Q15;Enum;Ja;UhiQ15;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
16. Sug eller svie i magen;UHI.Q16;Enum;Ja;UhiQ16;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
17. Magekatarr, magesår;UHI.Q17;Enum;Ja;UhiQ17;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
18. Mageknip;UHI.Q18;Enum;Ja;UhiQ18;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
19. Luftplager;UHI.Q19;Enum;Ja;UhiQ19;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
20. Løs avføring, diare;UHI.Q20;Enum;Ja;UhiQ20;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
